ID,Image_Name,Image_Features,Name,Image_Description
1092,image_03670.jpg,"[[-3.5686398e-04  2.0193537e-03  6.1819311e-03 ... -1.4293427e+00
   2.5952125e-02  1.1569979e+00]]",primula,a close up picture of two different types of primulas 
1093,image_05725.jpg,"[[-2.3788237e-04  4.7460641e-03  4.7585419e-03 ... -1.1922441e+00
  -6.5405541e-03 -3.4112921e-01]]",daffodil,a yellow and white daffodil in a daffodil pot 
1094,image_00997.jpg,"[[-1.2213676e-04  9.8815765e-03  4.9025016e-03 ... -1.3422486e+00
   2.2394335e-01  1.0265625e+00]]",wallflower,a close up picture of a wallflower in a wallflower pot 
1095,image_05081.jpg,"[[ 5.5409369e-06  2.8201828e-03  1.5377759e-03 ...  1.8527529e-01
  -7.8088272e-01 -7.1313626e-01]]",orange dahlia,a vase filled with yellow orange dahlias on top of a tree 
1096,image_03297.jpg,"[[-2.9740491e-04  6.1404676e-04 -1.5777035e-03 ...  4.4083819e+00
  -3.9051497e-01  2.8173059e-01]]",bird of paradise,a bird of paradise in a bird of paradise pot on a sunny day 
1097,image_07237.jpg,"[[-1.5903027e-04  2.3574643e-03  1.6744506e-03 ...  6.4106393e-01
   9.1933221e-02  2.5492201e+00]]",gaura,a bird that is flying in the air 
1098,image_02231.jpg,"[[-5.9479201e-04 -8.4544253e-03 -1.0279820e-03 ...  1.2233733e+00
  -4.5895538e-01  2.5902903e-01]]",barbeton daisy,a vase filled with lots of yellow barbeton daisys 
1099,image_05766.jpg,"[[-5.2267528e-04  6.8485155e-03 -1.2553352e-03 ...  5.7545072e-01
   2.3825742e-02  1.2947823e-01]]",king protea,a green and white king protea in a king protea pot 
1100,image_06022.jpg,"[[ 9.8362638e-05  2.6004934e-03 -1.9242633e-03 ...  2.7778177e+00
  -4.3476105e-01  9.0141171e-01]]",ball moss,a ball moss in a ball moss pot on the ground 
1101,image_05722.jpg,"[[ 2.1641426e-04  9.2778355e-03  3.3293795e-03 ...  1.7934908e+00
  -3.9310238e-01 -4.3245867e-01]]",daffodil,a yellow daffodil in the middle of a green field 
1102,image_02270.jpg,"[[-4.4483106e-04 -1.7110007e-03  2.2068221e-04 ...  2.9130089e-01
  -3.8860732e-01 -2.6519588e-01]]",barbeton daisy,a vase filled with lots of yellow barbeton daisys 
1103,image_05707.jpg,"[[-5.8995339e-04  8.0861407e-04  8.0118850e-03 ...  3.3467022e-01
  -8.2089359e-01  5.1482689e-01]]",daffodil,a yellow and white daffodil in the middle of a field 
1104,image_03352.jpg,"[[-1.3001489e-04  3.6916542e-03 -2.3225443e-03 ...  2.4811425e+00
  -5.4318544e-02  1.4004552e-01]]",bird of paradise,a plant that is growing out of a tree 
1105,image_01205.jpg,"[[-4.1038916e-04  6.0199024e-03  2.6970573e-03 ...  6.4620681e+00
  -2.7420625e-01  1.0863283e+00]]",rose,a pink rose in a pink rose bush 
1106,image_04049.jpg,"[[-4.3215556e-04  2.0490003e-04 -1.1070303e-03 ...  4.4720106e+00
  -7.9609245e-01 -6.9019979e-01]]",colt's foot,a yellow fire hydrant sitting in the middle of a field 
1107,image_01104.jpg,"[[ 7.7279758e-05  7.8364341e-03  6.8465155e-03 ...  5.4175717e-01
  -4.1807380e-01  6.2487966e-01]]",wallflower,a wallflower in a vase on a sunny day 
1108,image_03583.jpg,"[[-4.7742587e-04  5.8490774e-03  5.4693534e-03 ...  5.8318692e-01
   5.8257580e-01  2.3349005e-01]]",azalea,a very pretty azalea in the middle of some bushes 
1109,image_01282.jpg,"[[-3.9888712e-04  9.9297389e-03  5.7209507e-03 ...  3.7987576e+00
  -3.1356063e-01  2.3701475e+00]]",rose,a pink rose in a rose pot on a sunny day 
1110,image_04714.jpg,"[[-8.4587873e-06  8.0735367e-03  5.4973881e-03 ... -7.0634365e-01
  -3.9490190e-01  4.1668367e-01]]",pelargonium,a pink rose is growing in a plant 
1111,image_02309.jpg,"[[-8.1553837e-05 -2.4099813e-03 -1.2572024e-03 ...  8.6242086e-01
  -6.3194406e-01  7.4081278e-01]]",barbeton daisy,a close up view of a red barbeton daisy in a barbeton daisy pot 
1112,image_05910.jpg,"[[-1.49894855e-04  4.04274603e-03  7.08498340e-03 ...  7.11932957e-01
  -1.20442525e-01  1.94169569e+00]]",bearded iris,a very pretty bearded iris in the middle of a grassy field 
1113,image_06776.jpg,"[[-4.4512749e-04  7.8697344e-03 -6.3947530e-04 ...  5.2662683e-01
  -1.7846847e-01  6.1814052e-01]]",fire lily,a close up picture of a fire lily in a vase 
1114,image_06695.jpg,"[[-3.3673223e-05  5.7168845e-03 -1.3032447e-03 ... -6.3886034e-01
   2.3346412e-01  1.7984189e-01]]",toad lily,a large white toad lily in the middle of a green field 
1115,image_01064.jpg,"[[-1.4684240e-04  1.3009249e-02  2.8650810e-03 ... -1.3631058e+00
  -4.7463146e-01  1.9633681e+00]]",wallflower,a red and white wallflower in a wallflower pot 
1116,image_03625.jpg,"[[-1.4577180e-04  1.1459502e-02  5.4945522e-03 ... -4.5693749e-01
  -3.0131274e-01  1.1207762e+00]]",azalea,a azalea in a azalea pot on a sunny day 
1117,image_06299.jpg,"[[-7.8075653e-04 -8.0355030e-04 -1.2793510e-03 ...  3.2895648e+00
  -2.8590766e-01 -1.2914417e+00]]",common dandelion,a pair of yellow vases sitting on top of each other 
1118,image_00042.jpg,"[[-3.1486721e-04  6.3786828e-03 -1.1684968e-03 ...  6.4799708e-01
  -1.0028805e+00 -3.5912433e-01]]",passion flower,a very cute looking passion flower in a passion flower pot 
1119,image_01778.jpg,"[[-2.9143508e-04  8.5867085e-03  4.7072954e-03 ... -2.9471171e-01
  -3.9452666e-01  8.5371274e-01]]",hibiscus,a black and white photo of a plant 
1120,image_01295.jpg,"[[-9.5986630e-05  1.0685504e-02  6.1348798e-03 ...  4.1308146e+00
  -2.9555979e-01  1.2414494e+00]]",rose,a pink rose in a pink rose bush 
1121,image_05755.jpg,"[[-1.08038446e-04  3.96193378e-03 -2.21662270e-03 ... -1.07611132e+00
  -2.29418308e-01  3.31688970e-01]]",king protea,a large white king protea sitting on top of a green plant 
1122,image_06796.jpg,"[[-4.8854767e-04  8.4759621e-03 -2.6716865e-03 ...  1.9221352e+00
  -2.3203182e-01 -1.1122783e-01]]",fire lily,a close up view of a close up view of some fire lilys 
1123,image_00802.jpg,"[[-3.2606127e-04  8.7915910e-03  4.0696030e-03 ...  2.2517083e+00
  -9.5425457e-02  1.4275418e-01]]",frangipani,a person holding a frangipani in their hand 
1124,image_04896.jpg,"[[-1.02355305e-04  1.55627343e-03  3.67462053e-03 ...  1.69424748e+00
  -4.72743720e-01  3.01470339e-01]]",hippeastrum,a very pretty hippeastrum in the middle of a field 
1125,image_06319.jpg,"[[-3.5244055e-04 -2.9167412e-03  1.6921986e-03 ...  1.2315477e+00
  -8.0668461e-01 -4.4316292e-01]]",common dandelion,a common dandelion in a vase on the ground 
1126,image_06090.jpg,"[[-2.5602066e-04  5.3757466e-03 -7.4183894e-04 ...  5.0038843e+00
  -1.3130379e-01  6.0297072e-01]]",spear thistle,a row of colorful spear thistle pots sitting on top of each other 
1127,image_01786.jpg,"[[-3.03112261e-04  3.81148956e-03  5.57453418e-03 ... -2.63074160e-01
  -4.19827789e-01  1.23348005e-01]]",hibiscus,a close up picture of a red rose in a vase 
1128,image_07163.jpg,"[[ 2.5819927e-05  4.5375670e-03  1.5334458e-04 ... -4.2497981e-01
   7.3878217e-01  1.1085281e+00]]",tiger lily,a red and white parrot standing on top of a lush green field 
1129,image_05248.jpg,"[[-1.5220094e-04  1.4383232e-02  2.8602304e-03 ...  2.0824497e+00
  -4.5512646e-01  9.5613307e-01]]",stemless gentian,a large group of blue and white stemless gentians in a grassy area 
1130,image_06604.jpg,"[[-3.9291281e-05  8.2485816e-03  6.2458599e-03 ...  3.6109248e-01
   4.2660055e-01  3.5051629e-01]]",grape hyacinth,a blue and white vase sitting on top of a table 
1131,image_00341.jpg,"[[-2.2742413e-04 -1.1884003e-04 -3.9949405e-04 ...  2.7301853e+00
  -3.9793473e-02  2.3116969e-01]]",water lily,a yellow water lily sitting on top of a green plant 
1132,image_01035.jpg,"[[-3.8000020e-05  1.1365311e-02  4.3566562e-03 ... -1.0797365e+00
  -9.8179057e-02  2.5930306e-01]]",wallflower,a red and white vase with wallflowers in it 
1133,image_03162.jpg,"[[-1.50695618e-04  1.04818568e-02  2.61971285e-03 ... -2.37805009e-01
   1.19865695e-02  7.44161963e-01]]",snapdragon,a red rose in the middle of a bunch of snapdragons 
1134,image_04758.jpg,"[[ 1.5924605e-05  5.5543748e-03  5.9464513e-03 ...  9.8239213e-01
  -2.8347561e-01  3.4922066e-01]]",pelargonium,a pink pelargonium in the middle of a green plant 
1135,image_04847.jpg,"[[-4.3675851e-04  2.3512777e-03  3.2285172e-03 ...  1.7506424e+00
  -6.1828699e-03  2.1461932e-02]]",hippeastrum,a close up view of a hippeastrum in a vase 
1136,image_03825.jpg,"[[-1.8813618e-04  5.0437911e-03 -3.4013268e-04 ...  8.2853419e-01
   2.2807249e-01  2.0047206e-01]]",cape flower,a close up view of some cape flowers in a vase 
1137,image_07388.jpg,"[[-3.4194859e-04  8.7090004e-03  1.3825949e-03 ...  1.4289408e+00
  -1.0275133e+00  3.3148371e-02]]",foxglove,a small white bird standing on top of a green plant 
1138,image_01798.jpg,"[[-1.7209370e-04  1.1337757e-02  1.7091553e-03 ... -8.2857513e-01
  -9.7507332e-03  2.9523399e-01]]",hibiscus,a small red and white hibiscus in a garden 
1139,image_02328.jpg,"[[-5.4395776e-05  1.9890717e-03  5.6419750e-03 ... -9.7392130e-01
  -1.3564770e-01  3.1151335e+00]]",sword lily,a sword lily in a vase in front of a wall 
1140,image_06866.jpg,"[[-7.4678777e-05  9.4865952e-03  5.8132852e-04 ...  7.6418024e-01
  -2.5338441e-01  6.4492786e-01]]",prince of wales feathers,a vase filled with prince of wales featherss sitting on top of a table 
1141,image_01056.jpg,"[[ 2.6853326e-05  1.0071095e-02  5.7663475e-03 ... -1.0124252e+00
  -5.8551359e-01  2.2164471e+00]]",wallflower,a bouquet of wallflowers in the middle of a grassy field 
1142,image_07631.jpg,"[[ 1.2598827e-04  1.2058422e-02  3.4719282e-03 ... -1.3491921e+00
   2.2862349e-01  2.1937245e-01]]",camellia,a white camellia in a green plant in front of a tree 
1143,image_02290.jpg,"[[-0.00077623 -0.00272229 -0.00097846 ... -0.4175577  -0.6729158
   0.43956822]]",barbeton daisy,a barbeton daisy in a vase on the ground 
1144,image_02910.jpg,"[[-2.4552614e-04  4.7662851e-04  4.7049811e-03 ... -3.4284824e-01
  -2.5141555e-01  1.3163123e+00]]",tree mallow,a pink tree mallow in the middle of a green plant 
1145,image_05988.jpg,"[[-2.4362841e-04  2.3016033e-03  1.6269563e-03 ... -2.0864214e-01
  -1.3099723e-01  4.4707638e-01]]",windflower,a white windflower sitting on top of a green plant 
1146,image_01100.jpg,"[[-4.6264173e-05  1.3162337e-02  5.2597281e-03 ... -8.3915788e-01
  -3.7648150e-01  1.6507860e-01]]",wallflower,a close up picture of a wallflower in a wallflower pot 
1147,image_00778.jpg,"[[-7.0478047e-05  5.7277866e-03  8.2176607e-03 ...  2.8881998e+00
  -7.2562170e-01  9.3551666e-01]]",watercress,a close up picture of a leafy green plant 
1148,image_05851.jpg,"[[-0.00060512 -0.00361498 -0.00264134 ...  0.32932925 -0.4676211
  -0.03539535]]",black-eyed susan,a small yellow black-eyed susan sitting on top of a yellow black-eyed susan pot 
1149,image_00579.jpg,"[[-3.1404276e-04  9.2720501e-03  2.7392032e-03 ...  1.2485669e+00
  -4.9837354e-01  1.3402389e+00]]",cyclamen,a pair of pink and white cyclamens in a garden 
1150,image_02376.jpg,"[[-1.2300313e-04  1.1360833e-02  2.9392280e-03 ...  5.3623396e-01
  -1.7738527e-01  2.1808078e+00]]",sword lily,a red rose blooming in the middle of a field 
1151,image_04511.jpg,"[[-6.0697837e-04 -2.7654681e-03 -2.6887096e-03 ...  1.6978450e-01
  -8.3039957e-01 -6.0358416e-02]]",gazania,a close up picture of a gazania in a gazania pot 
1152,image_03531.jpg,"[[-5.9384364e-04  3.6038286e-03  1.8593248e-03 ... -4.5887300e-01
  -3.1044745e-01  7.5966167e-01]]",sweet william,a number of small sweet williams in a vase 
1153,image_00726.jpg,"[[-2.2260663e-04  4.5206882e-03  4.6850382e-03 ... -8.3708322e-01
  -3.4137627e-01  1.0269480e+00]]",watercress,a close up view of a black and white photo of a plant 
1154,image_05786.jpg,"[[-6.0308630e-05  7.7998261e-03  4.4985674e-04 ... -1.1887482e+00
  -6.4192367e-01  7.7765352e-01]]",king protea,a large white king protea in a king protea pot 
1155,image_07908.jpg,"[[-3.5169499e-04  2.9166040e-03 -3.7808245e-04 ...  1.3966638e+00
  -4.6415555e-01 -4.1586954e-02]]",blanket flower,a bouquet of blanket flowers in a blanket flower pot 
1156,image_00222.jpg,"[[-5.5998284e-04  2.7982425e-03 -1.4667688e-03 ...  2.2052681e+00
  -9.7673094e-01  1.0148522e+00]]",passion flower,a close up picture of a passion flower in a plant 
1157,image_04324.jpg,"[[-4.1533427e-04  2.6655875e-03  2.9066671e-03 ...  3.3086446e-01
  -7.7313417e-01 -1.8729536e-01]]",peruvian lily,a close up view of a peruvian lily in a vase 
1158,image_06004.jpg,"[[-2.0982236e-04  8.6508319e-03  3.0748278e-03 ... -1.1547872e+00
   2.9165128e-01 -1.2274353e-01]]",windflower,a white windflower in the middle of a bunch of plants 
1159,image_07352.jpg,"[[-4.8933295e-04 -5.8557710e-04  4.6693278e-03 ... -7.3290712e-01
  -2.7674633e-01 -4.7449380e-01]]",foxglove,a row of white foxgloves in a white vase 
1160,image_03459.jpg,"[[ 3.6718481e-04  9.8877354e-03 -2.2945851e-03 ...  1.9486207e+00
  -8.8954574e-01  1.3790363e+00]]",fritillary,a black and white photo of a red and white fritillary 
1161,image_03109.jpg,"[[-3.2988712e-05  4.1254638e-03  4.6455399e-03 ...  2.6465003e+00
  -1.8242538e-02  4.7638893e-01]]",snapdragon,a small black and white bird standing on top of a rock 
1162,image_01430.jpg,"[[-2.8665747e-05  2.3294562e-03  5.9855343e-03 ...  1.9772749e+00
  -4.3772075e-02 -3.7334231e-01]]",petunia,a very pretty petunia in the middle of a field 
1163,image_06349.jpg,"[[-4.8530084e-05  3.9320788e-03  3.9287806e-03 ...  8.6437297e-01
  -3.0445952e-02 -8.9905047e-01]]",yellow iris,a brown and white bird standing on top of a lush green field 
1164,image_04507.jpg,"[[-4.2711076e-04  7.1078783e-04 -1.4466673e-04 ...  3.1329444e-01
  -4.5200485e-01  2.0054638e-01]]",gazania,a close up picture of a gazania in a gazania pot 
1165,image_07564.jpg,"[[-7.87223616e-05  1.20447725e-02  3.53065343e-03 ...  2.71838438e-02
  -5.35807073e-01  9.06841815e-01]]",bougainvillea,a pink bougainvillea in a purple bougainvillea in a green plant 
1166,image_00775.jpg,"[[ 7.7873638e-06  9.0277512e-03  5.5233771e-03 ... -4.8018032e-01
  -5.1983267e-01 -5.4011095e-01]]",watercress,a close up picture of a watercress in a plant 
1167,image_02471.jpg,"[[-1.9460719e-04  7.3485747e-03  1.3106451e-03 ...  1.9514154e+00
  -5.0574213e-02 -2.1508199e-01]]",morning glory,a purple and white morning glory in a morning glory pot 
1168,image_07528.jpg,"[[-3.6380740e-04  8.7314211e-03  5.7182331e-03 ...  5.1694512e-01
  -4.0120627e-03  1.9942214e+00]]",bougainvillea,a bouquet of red roses in a white vase 
1169,image_03973.jpg,"[[-4.1962681e-05  1.1219291e-02  2.4561186e-03 ... -1.5415796e+00
  -6.5774757e-01  1.9000465e+00]]",petunia,a bouquet of petunias in the middle of a petunia bed 
1170,image_06106.jpg,"[[-5.1338325e-04  6.4286566e-03  2.5925736e-03 ... -1.6102726e+00
  -9.7999200e-02  2.9479349e-01]]",silverbush,a small white bird standing on top of a silverbush pot 
1171,image_01993.jpg,"[[-2.2778670e-04  5.8826744e-03 -8.2281383e-04 ...  2.4047570e+00
   4.8938635e-01  7.5696814e-01]]",anthurium,a red and white vase filled with red and white anthuriums 
1172,image_01682.jpg,"[[-1.3860610e-04  8.6960448e-03  8.2370115e-04 ...  2.1769431e+00
   8.0841161e-02  6.4106077e-01]]",clematis,a vase filled with clematiss next to a fence 
1173,image_01658.jpg,"[[-1.4566341e-04  8.4743537e-03  3.3244304e-03 ...  5.5366093e-01
   6.5385178e-03 -3.0923001e-02]]",clematis,a white vase filled with clematiss on top of a bush 
1174,image_04363.jpg,"[[-5.7561876e-04  5.8051925e-03  1.1897207e-03 ...  7.7700382e-01
   3.8889434e-02 -6.7784935e-01]]",ruby-lipped cattleya,a black and white photo of a white ruby-lipped cattleya 
1175,image_05184.jpg,"[[-4.4793243e-04  1.6238878e-03  5.2188418e-04 ...  6.2120634e-01
  -4.9838233e-01  7.4816043e-03]]",english marigold,a english marigold in a vase on the ground 
1176,image_01748.jpg,"[[-2.8801745e-05  5.4129944e-03  3.8776435e-03 ...  1.1873035e+00
  -6.3398308e-01  5.2944916e-01]]",hibiscus,a red and yellow hibiscus in a vase on a window sill 
1177,image_06740.jpg,"[[-1.07594366e-04  3.31664318e-03  2.55790539e-03 ...  7.05017686e-01
  -4.51924533e-01  1.05401134e+00]]",pink primrose,a white vase filled with pink primroses on top of a grassy field 
1178,image_04845.jpg,"[[-4.2644443e-04  8.9009069e-03  4.1874396e-03 ...  1.0917592e+00
  -3.1241292e-01  4.4164076e-01]]",hippeastrum,two white hippeastrums in a clear vase on a table 
1179,image_06379.jpg,"[[-1.9295167e-04  4.2459532e-03  3.0532870e-03 ... -6.5675324e-01
  -5.4682964e-01  3.2287392e-01]]",yellow iris,a bird that is standing in the grass 
1180,image_00805.jpg,"[[-2.8696578e-04  7.0896391e-03  1.3835019e-03 ... -5.4363090e-01
   1.9412881e-01  8.1095737e-01]]",frangipani,a vase filled with frangipanis sitting on top of a tree 
1181,image_06289.jpg,"[[-4.2883068e-05  1.8545997e-03 -2.7960789e-04 ...  1.8021820e+00
  -2.5790429e-01  1.3650787e+00]]",cautleya spicata,a plant that is growing out of a plant 
1182,image_00186.jpg,"[[-4.0988837e-04  4.5986902e-03  4.9886771e-04 ...  4.2528212e-01
   1.6377780e-01  1.2788204e+00]]",passion flower,a brown and white bird sitting on top of a plant 
1183,image_07470.jpg,"[[-2.1489141e-04  8.6016487e-03 -1.1241178e-04 ...  2.6848015e-01
   4.7376793e-02  5.8020180e-01]]",bougainvillea,a purple and white bougainvillea in a blue and white bougainvillea in a window 
1184,image_00054.jpg,"[[-2.5553803e-04  6.5171286e-03 -3.1068919e-03 ...  1.8279194e+00
  -1.0911838e+00  4.4288418e-01]]",passion flower,a very cute looking passion flower in a passion flower pot 
1185,image_07586.jpg,"[[ 8.28375923e-05  1.15073295e-02  3.53398896e-03 ... -2.19878569e-01
  -6.09351933e-01  6.16851091e-01]]",bougainvillea,a close up picture of a purple bougainvillea in a vase 
1186,image_04984.jpg,"[[ 1.0522439e-04 -1.7956765e-03  3.1464775e-03 ...  1.7918009e+00
  -8.3078539e-01  3.1958795e-01]]",marigold,a vase filled with marigolds sitting on top of a table 
1187,image_02455.jpg,"[[-8.3919396e-05  1.4666712e-02  9.5826719e-04 ...  2.4537485e+00
  -4.3983918e-02  2.9004404e-01]]",morning glory,a small bird is perched on the branch of a plant 
1188,image_04400.jpg,"[[-2.9052739e-04  4.7676507e-03  6.0083843e-03 ...  3.7764387e+00
   2.6835306e-02 -2.2010274e-01]]",ruby-lipped cattleya,a pair of pink and white ruby-lipped cattleyas in a vase 
1189,image_02035.jpg,"[[ 3.8722600e-04  1.0501497e-02  4.7057981e-04 ...  9.6184105e-02
  -5.7426149e-01  1.9912063e+00]]",anthurium,a red and white fire hydrant sitting on top of a lush green field 
1190,image_08147.jpg,"[[-2.0411985e-04  9.0088146e-03 -3.0280673e-03 ...  3.6854219e-01
  -6.0738331e-01  7.5892103e-01]]",gaura,a plant that is growing out of the ground 
1191,image_04069.jpg,"[[-7.5300777e-04  4.3771203e-04 -2.4201036e-03 ...  1.1195600e+00
  -2.8555432e-01 -2.7683657e-01]]",colt's foot,a pile of yellow colt's foots sitting on top of a plant 
1192,image_06941.jpg,"[[-6.4513955e-04  3.9793220e-03  3.0053833e-03 ...  3.8233209e-01
  -5.0145358e-01  7.4220783e-01]]",mexican aster,a mexican aster that is in a mexican aster pot 
1193,image_00415.jpg,"[[-5.0159270e-04 -5.8916886e-03  8.5225003e-04 ...  7.1418059e-01
  -2.0681230e-02 -5.7498807e-01]]",water lily,a black and white vase filled with yellow water lilys 
1194,image_04135.jpg,"[[-5.8949564e-04  2.4193772e-03 -2.8525225e-03 ...  1.8678421e+00
  -6.7341262e-01  7.2212481e-01]]",artichoke,a bouquet of artichokes sitting on top of a table 
1195,image_06130.jpg,"[[-2.1999430e-04  5.8361511e-03  1.7403762e-03 ... -2.4961910e+00
  -2.3165479e-02  6.9575441e-01]]",silverbush,a white vase with silverbushs on top of it 
1196,image_02242.jpg,"[[-6.3700060e-04 -4.3690307e-03  1.0176949e-03 ...  4.0042549e-01
  -3.2044885e-01 -6.6884410e-01]]",barbeton daisy,a vase filled with yellow barbeton daisys on top of a table 
1197,image_02149.jpg,"[[ 5.8061025e-05  4.4331760e-03  6.3220481e-03 ...  8.3674896e-01
  -7.7966273e-02  2.8189829e-01]]",thorn apple,a white and black thorn apple in a white vase 
1198,image_00855.jpg,"[[-3.1328504e-04  3.0792283e-03  2.8992551e-03 ...  5.9368396e-01
  -1.3459165e-01 -1.5920241e-01]]",frangipani,a close up view of some frangipanis in a vase 
1199,image_04551.jpg,"[[-4.1961123e-04 -2.8218660e-03 -1.8003053e-03 ...  9.2002392e-01
  -4.7765824e-01  1.4157847e-01]]",gazania,a gazania in a gazania pot on the ground 
1200,image_01026.jpg,"[[ 1.6707504e-04  6.6306763e-03  4.2746123e-03 ...  3.1774452e+00
  -1.8023013e-01  5.6338322e-01]]",wallflower,a red and white vase sitting on the ground 
1201,image_00394.jpg,"[[-5.7219283e-04  3.9886348e-03 -3.9645756e-04 ... -2.1915996e-01
   2.8497523e-01  5.2398890e-01]]",water lily,a red rose sitting on top of a green plant 
1202,image_00019.jpg,"[[-2.1443710e-04  2.8575885e-03 -1.9810267e-04 ...  4.3045717e-01
   1.4497119e-01 -7.8580976e-02]]",passion flower,a green and white passion flower sitting on top of a plant 
1203,image_01114.jpg,"[[-1.8455542e-04  9.9683832e-03  5.9887124e-03 ... -1.8350457e+00
  -2.0899168e-01  2.9801702e-01]]",wallflower,a vase filled with wallflowers on top of a table 
1204,image_01459.jpg,"[[-2.3892944e-04  6.0709491e-03  2.3533278e-03 ... -1.8131886e-01
  -8.6105406e-02 -1.0368776e+00]]",petunia,a small white petunia in the middle of a plant 
1205,image_02050.jpg,"[[ 1.2873200e-04  8.9748017e-03 -4.3740325e-05 ...  4.3695959e-01
  -4.9853590e-01  4.0820384e-01]]",anthurium,a red and white fire hydrant with a bunch of anthuriums in it 
1206,image_06732.jpg,"[[-3.5734975e-04  1.0223934e-02  4.2561258e-04 ...  9.0502733e-01
  -2.4415353e-01  1.1763984e+00]]",toad lily,a small white toad lily in a toad lily pot 
1207,image_07362.jpg,"[[-6.2264130e-06  1.0471776e-02  3.3481668e-03 ... -6.2803543e-01
   1.4283685e-01  6.4876944e-01]]",foxglove,a pair of pink foxgloves sticking out of the top of a white towel 
1208,image_07838.jpg,"[[-4.6728825e-04  8.5188664e-04  2.3711389e-03 ...  3.0933828e+00
   1.6430379e-01  5.1938325e-01]]",bromelia,a bromelia in a vase on the ground 
1209,image_05608.jpg,"[[-3.1629635e-04  7.7253962e-03  9.4768725e-04 ...  3.0136970e-01
  -4.5544893e-01  1.0324043e+00]]",garden phlox,a close up picture of a garden phlox in a garden phlox pot 
1210,image_03731.jpg,"[[-2.5061704e-04  4.8647411e-03  3.8403275e-03 ... -7.0024513e-02
  -5.7592577e-01  3.1192565e-01]]",primula,a row of green and yellow primulas on a table 
1211,image_02842.jpg,"[[-9.3386545e-05  5.2439035e-03  2.8860769e-03 ...  6.6499311e-01
   3.8543656e-02 -8.0782399e-03]]",bishop of llandaff,a red rose sitting on top of a plant 
1212,image_01906.jpg,"[[-2.8887505e-04  5.9369262e-03  1.3275911e-03 ...  1.4794511e-01
   7.0527506e-01 -4.8900476e-01]]",lotus lotus,a lotus lotus in a lotus lotus pot on a sunny day 
1213,image_03495.jpg,"[[-2.6060321e-04  7.0818467e-03 -2.2245889e-05 ...  1.0695833e+00
  -9.2845279e-01  7.8430659e-01]]",sweet william,a vase filled with pink sweet williams on top of a table 
1214,image_05809.jpg,"[[-5.6175620e-04  3.9471476e-03  1.3205033e-03 ... -6.7230672e-02
  -5.7763767e-01 -2.6835300e-02]]",great masterwort,a black and white photo of a black and white dog 
1215,image_05218.jpg,"[[-9.8523351e-06  6.2637813e-03  2.4128458e-03 ...  1.4521536e+00
  -7.4969870e-01  4.6386671e-01]]",stemless gentian,a blue and white bird is standing in the grass 
1216,image_02384.jpg,"[[-1.5830185e-04  6.7588813e-03  2.0448398e-03 ...  2.0595095e+00
  -5.6151533e-01  1.6461010e+00]]",sword lily,a pink and white sword lily in a sword lily pot 
1217,image_01367.jpg,"[[ 4.5279725e-05  6.7783124e-03  2.6633872e-03 ... -3.5771513e-01
  -7.4294344e-02  2.0923354e-01]]",petunia,a vase filled with petunias on top of a bush 
1218,image_01876.jpg,"[[-4.5236322e-04  6.6445237e-03  5.5691833e-03 ...  7.2466105e-01
   6.2731497e-02  6.6978209e-02]]",lotus lotus,a pink lotus lotus in a green vase on a table 
1219,image_01740.jpg,"[[-1.1743736e-04  1.0472862e-02  5.5609499e-03 ... -9.2113537e-01
  -5.6769377e-01 -3.0991215e-01]]",hibiscus,a red rose sitting on top of a plant next to a window 
1220,image_02498.jpg,"[[-1.82261050e-04  1.18673155e-02 -1.86261814e-03 ...  2.25779533e+00
  -2.75840998e-01 -3.06919441e-02]]",morning glory,a pink morning glory in the middle of a leafy bush 
1221,image_00469.jpg,"[[-2.1504251e-05  4.9856156e-03  2.2993558e-03 ...  1.9405849e-01
  -5.1265419e-01 -2.4827887e-01]]",cyclamen,a large white cyclamen in a white vase 
1222,image_03132.jpg,"[[-1.2256067e-04  8.5426755e-03  6.1937752e-03 ... -9.9751669e-01
   2.5466755e-01  2.1497571e-01]]",snapdragon,a black and white photo of a pink rose 
1223,image_03274.jpg,"[[-3.5268706e-05  6.4300536e-03  3.4620087e-03 ...  3.6428499e-01
  -4.2616832e-01  1.2946125e+00]]",californian poppy,a plant that is growing in a field 
1224,image_07523.jpg,"[[-1.1615908e-04  9.1476664e-03  4.1939644e-03 ... -1.1839945e+00
  -3.4727645e-01  1.0565346e+00]]",bougainvillea,a bouquet of pink bougainvilleas in a blue vase 
1225,image_07004.jpg,"[[-4.2662470e-04  2.1432214e-03  1.8299365e-03 ...  3.4089003e+00
   1.0819833e+00  5.5587822e-01]]",alpine sea holly,a close up picture of a alpine sea holly in a alpine sea holly pot 
1226,image_04023.jpg,"[[-5.9015554e-04 -1.1573704e-03 -5.3964328e-04 ...  2.5502639e+00
  -5.6278634e-01 -8.2759833e-01]]",colt's foot,a yellow teddy bear sitting on top of a plant 
1227,image_06896.jpg,"[[-1.6114523e-04  4.3760589e-03 -7.1305095e-04 ... -6.3591772e-01
   6.6437232e-01  1.5180864e+00]]",carnation,a pink rose in a white vase next to a window 
1228,image_02158.jpg,"[[ 1.4662354e-04  1.4581559e-03  4.1843220e-04 ... -3.9536360e-01
  -1.7069151e-01  1.2658229e-01]]",thorn apple,a large white thorn apple sitting on top of a brick wall 
